Category: All categories

Week,chicken: (United States)
2020-02-02,80
2020-02-09,76
2020-02-16,75
2020-02-23,74
2020-03-01,74
2020-03-08,67
2020-03-15,71
2020-03-22,83
2020-03-29,88
2020-04-05,92
2020-04-12,87
2020-04-19,93
2020-04-26,96
2020-05-03,88
2020-05-10,86
2020-05-17,87
2020-05-24,85
2020-05-31,79
2020-06-07,82
2020-06-14,81
2020-06-21,77
2020-06-28,80
2020-07-05,78
2020-07-12,78
2020-07-19,78
2020-07-26,78
2020-08-02,75
2020-08-09,74
2020-08-16,76
2020-08-23,72
2020-08-30,72
2020-09-06,74
2020-09-13,76
2020-09-20,73
2020-09-27,76
2020-10-04,78
2020-10-11,79
2020-10-18,81
2020-10-25,82
2020-11-01,65
2020-11-08,78
2020-11-15,80
2020-11-22,72
2020-11-29,72
2020-12-06,75
2020-12-13,79
2020-12-20,76
2020-12-27,84
2021-01-03,86
2021-01-10,89
2021-01-17,90
2021-01-24,100
